2026-03-08 13:11:21 | INFO | main:crawl:41 | 开始爬取新闻任务
2026-03-08 13:11:21 | INFO | thepaper:crawl:13 | 开始爬取澎湃新闻，最大数量: 5
2026-03-08 13:11:23 | SUCCESS | thepaper:crawl:52 | 澎湃新闻爬取完成，共爬取 0 条新闻
2026-03-08 13:11:23 | SUCCESS | main:crawl:83 | 爬取任务完成，共爬取 0 条新闻
2026-03-08 13:11:47 | INFO | main:crawl:41 | 开始爬取新闻任务
2026-03-08 13:11:47 | INFO | sina:crawl:13 | 开始爬取新浪新闻，最大数量: 5
2026-03-08 13:11:50 | SUCCESS | sina:crawl:56 | 新浪新闻爬取完成，共爬取 0 条新闻
2026-03-08 13:11:50 | SUCCESS | main:crawl:83 | 爬取任务完成，共爬取 0 条新闻
2026-03-08 13:13:56 | INFO | main:crawl:41 | 开始爬取新闻任务
2026-03-08 13:13:56 | INFO | sina:crawl:13 | 开始爬取新浪新闻，最大数量: 10
2026-03-08 13:14:02 | SUCCESS | base:save_news:73 | 保存新闻成功: 习近平看望政协委员并参加联组会侧记
2026-03-08 13:14:04 | SUCCESS | base:save_news:73 | 保存新闻成功: 中国式现代化，每个人都是主角
2026-03-08 13:14:06 | SUCCESS | base:save_news:73 | 保存新闻成功: 全文来了！21个提问，王毅一一作答
2026-03-08 13:14:10 | SUCCESS | base:save_news:73 | 保存新闻成功: 冲突进入第九天 美驻伊拉克使馆遭袭
2026-03-08 13:14:13 | SUCCESS | base:save_news:73 | 保存新闻成功: 中国货船"铁娘子"号 成功通过霍尔木兹海峡
2026-03-08 13:14:16 | SUCCESS | base:save_news:73 | 保存新闻成功: 全国性表彰奖励，她是全军唯一！
2026-03-08 13:14:18 | SUCCESS | base:save_news:73 | 保存新闻成功: 日本趁乱“松绑”武器出口，影响有几何？
2026-03-08 13:14:18 | SUCCESS | sina:crawl:56 | 新浪新闻爬取完成，共爬取 7 条新闻
2026-03-08 13:14:18 | SUCCESS | main:crawl:83 | 爬取任务完成，共爬取 7 条新闻
